classA_001;classA_001;classA_001
MSASol53.msf;0.693;0.510
MSASol54.msf;0.693;0.510
MSASol55.msf;0.696;0.520
MSASol56.msf;0.693;0.510
MSASol57.msf;0.696;0.520
MSASol58.msf;0.689;0.500
MSASol59.msf;0.696;0.520
MSASol6.msf;0.696;0.520
MSASol60.msf;0.693;0.510
MSASol61.msf;0.693;0.510
MSASol62.msf;0.693;0.510
MSASol63.msf;0.696;0.520
MSASol64.msf;0.696;0.520
MSASol65.msf;0.696;0.520
MSASol66.msf;0.693;0.510
MSASol67.msf;0.693;0.510
MSASol68.msf;0.693;0.510
MSASol69.msf;0.693;0.510
MSASol7.msf;0.696;0.520
MSASol70.msf;0.694;0.510
MSASol71.msf;0.693;0.510
MSASol72.msf;0.689;0.500
MSASol73.msf;0.697;0.520
MSASol74.msf;0.693;0.510
MSASol75.msf;0.694;0.510
MSASol76.msf;0.694;0.510
MSASol77.msf;0.697;0.520
MSASol78.msf;0.693;0.510
MSASol79.msf;0.696;0.520
MSASol8.msf;0.696;0.520
MSASol80.msf;0.696;0.520
MSASol81.msf;0.693;0.510
MSASol82.msf;0.693;0.510
MSASol83.msf;0.696;0.520
MSASol84.msf;0.697;0.520
MSASol85.msf;0.696;0.520
MSASol86.msf;0.693;0.510
MSASol87.msf;0.693;0.510
MSASol88.msf;0.694;0.510
MSASol89.msf;0.696;0.520
MSASol9.msf;0.696;0.520
MSASol90.msf;0.697;0.520
MSASol91.msf;0.697;0.520
MSASol92.msf;0.697;0.520
MSASol93.msf;0.693;0.510
MSASol94.msf;0.694;0.510
MSASol95.msf;0.696;0.520
MSASol96.msf;0.696;0.520
MSASol97.msf;0.693;0.510
MSASol98.msf;0.693;0.510
MSASol99.msf;0.696;0.520
classC;classC;classC
MSASol0.msf;0.519;0.000
MSASol1.msf;0.619;0.000
MSASol10.msf;0.684;0.370
MSASol11.msf;0.468;0.000
MSASol12.msf;0.619;0.000
MSASol13.msf;0.468;0.000
MSASol14.msf;0.683;0.370
MSASol15.msf;0.469;0.000
MSASol16.msf;0.684;0.370
MSASol17.msf;0.684;0.370
