dataset,method,objective_1,objective_2,fasta,status,message
"classA_002_19","mafft",49149.0000000000,0.4704342865,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\mafft_classA_002_19.fasta",ok,""
"classA_002_19","mtmalign",19042.0000000000,0.2066364409,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\mtmalign_classA_002_19.fasta",ok,""
"classA_002_19","muscle5",47811.0000000000,0.4526512158,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\muscle5_classA_002_19.fasta",ok,""
"classA_002_19","mustang",24366.0000000000,0.3418901862,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\mustang_classA_002_19.fasta",ok,""
"classA_002_19","tcoffee",45632.0000000000,0.4370223240,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\tcoffee_classA_002_19.fasta",ok,""
"classA_002_19","tmaligner",43441.0000000000,0.4581180047,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\tmaligner_classA_002_19.fasta",ok,""
"classA_002_19","usalign",23983.0000000000,0.2714465724,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\usalign_classA_002_19.fasta",ok,""
"classA_002_19","usalign_clean",23983.0000000000,0.2714465724,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_002_19\usalign_classA_002_19_clean.fasta",ok,""
"classA_003","caretta",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\caretta_classA_003.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\caretta_classA_003.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'fshr_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\caretta_classA_003.fasta. Expected length=695, obtained length=695"
"classA_003","clustalw",124358.0000000000,0.4420819860,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\clustalw_classA_003.fasta",ok,""
"classA_003","foldmason",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\foldmason_classA_003.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\foldmason_classA_003.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'fshr_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\foldmason_classA_003.fasta. Expected length=695, obtained length=695"
"classA_003","kalign",130818.0000000000,0.4474366367,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\kalign_classA_003.fasta",ok,""
"classA_003","mafft",140907.0000000000,0.4406890689,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\mafft_classA_003.fasta",ok,""
"classA_003","mtmalign",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\mtmalign_classA_003.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\mtmalign_classA_003.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Protein 'cml2_human' was not found in precomputed alignment C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\mtmalign_classA_003.fasta"
"classA_003","muscle5",138356.0000000000,0.3972747159,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\muscle5_classA_003.fasta",ok,""
"classA_003","mustang",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\mustang_classA_003.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\mustang_classA_003.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Protein 'cml2_human' was not found in precomputed alignment C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\mustang_classA_003.fasta"
"classA_003","tcoffee",119846.0000000000,0.4009376983,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\tcoffee_classA_003.fasta",ok,""
"classA_003","tmaligner",118305.0000000000,0.4360223690,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\tmaligner_classA_003.fasta",ok,""
"classA_003","usalign",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\usalign_classA_003.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\usalign_classA_003.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'fshr_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\usalign_classA_003.fasta. Expected length=695, obtained length=695"
"classA_003","usalign_clean",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\usalign_classA_003_clean.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\usalign_classA_003_clean.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'fshr_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003\usalign_classA_003_clean.fasta. Expected length=695, obtained length=695"
"classA_003_19","caretta",40702.0000000000,0.6923373304,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\caretta_classA_003_19.fasta",ok,""
"classA_003_19","clustalw",96688.0000000000,0.7349528211,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\clustalw_classA_003_19.fasta",ok,""
"classA_003_19","foldmason",88460.0000000000,0.7707390657,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\foldmason_classA_003_19.fasta",ok,""
"classA_003_19","kalign",99709.0000000000,0.7372443299,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\kalign_classA_003_19.fasta",ok,""
"classA_003_19","mafft",101118.0000000000,0.7560474261,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\mafft_classA_003_19.fasta",ok,""
"classA_003_19","mtmalign",70669.0000000000,0.2721440556,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\mtmalign_classA_003_19.fasta",ok,""
"classA_003_19","muscle5",101918.0000000000,0.6915812960,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\muscle5_classA_003_19.fasta",ok,""
"classA_003_19","mustang",85151.0000000000,0.4867030233,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\mustang_classA_003_19.fasta",ok,""
"classA_003_19","tcoffee",100646.0000000000,0.7038088498,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\tcoffee_classA_003_19.fasta",ok,""
"classA_003_19","tmaligner",96901.0000000000,0.7193267159,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\tmaligner_classA_003_19.fasta",ok,""
"classA_003_19","usalign",75771.0000000000,0.4021247368,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\usalign_classA_003_19.fasta",ok,""
"classA_003_19","usalign_clean",75771.0000000000,0.4021247368,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_003_19\usalign_classA_003_19_clean.fasta",ok,""
"classA_004","caretta",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\caretta_classA_004.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\caretta_classA_004.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'oxer1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\caretta_classA_004.fasta. Expected length=423, obtained length=384"
"classA_004","clustalw",-2678.0000000000,0.4712549676,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\clustalw_classA_004.fasta",ok,""
"classA_004","foldmason",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\foldmason_classA_004.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\foldmason_classA_004.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'oxer1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\foldmason_classA_004.fasta. Expected length=423, obtained length=384"
"classA_004","kalign",-1440.0000000000,0.4781149188,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\kalign_classA_004.fasta",ok,""
"classA_004","mafft",33587.0000000000,0.4591797916,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\mafft_classA_004.fasta",ok,""
"classA_004","mtmalign",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\mtmalign_classA_004.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\mtmalign_classA_004.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'oxer1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\mtmalign_classA_004.fasta. Expected length=423, obtained length=384"
"classA_004","muscle5",26132.0000000000,0.3509092237,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\muscle5_classA_004.fasta",ok,""
"classA_004","mustang",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\mustang_classA_004.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\mustang_classA_004.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'oxer1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\mustang_classA_004.fasta. Expected length=423, obtained length=384"
"classA_004","tcoffee",5645.0000000000,0.3638417136,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\tcoffee_classA_004.fasta",ok,""
"classA_004","tmaligner",16546.0000000000,0.3817883450,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\tmaligner_classA_004.fasta",ok,""
"classA_004","usalign",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\usalign_classA_004.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\usalign_classA_004.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'oxer1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\usalign_classA_004.fasta. Expected length=423, obtained length=384"
"classA_004","usalign_clean",,,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\usalign_classA_004_clean.fasta",failed,"JMetalException: Error reading data from fasta files C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\usalign_classA_004_clean.fasta. Message: org.uma.jmetal.util.errorchecking.JMetalException: Ungapped sequence mismatch for protein 'oxer1_human' in C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004\usalign_classA_004_clean.fasta. Expected length=423, obtained length=384"
"classA_004_19","clustalw",24371.0000000000,0.5885653995,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004_19\clustalw_classA_004_19.fasta",ok,""
"classA_004_19","kalign",21800.0000000000,0.6195087232,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004_19\kalign_classA_004_19.fasta",ok,""
"classA_004_19","mafft",26123.0000000000,0.6035384543,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004_19\mafft_classA_004_19.fasta",ok,""
"classA_004_19","muscle5",27862.0000000000,0.5561131813,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004_19\muscle5_classA_004_19.fasta",ok,""
"classA_004_19","tcoffee",25333.0000000000,0.5567845092,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004_19\tcoffee_classA_004_19.fasta",ok,""
"classA_004_19","tmaligner",25364.0000000000,0.5815403734,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_004_19\tmaligner_classA_004_19.fasta",ok,""
"classB1","caretta",19123.0000000000,0.6191421893,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\caretta_classB1.fasta",ok,""
"classB1","clustalw",66147.0000000000,0.6039559655,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\clustalw_classB1.fasta",ok,""
"classB1","foldmason",59832.0000000000,0.6319684160,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\foldmason_classB1.fasta",ok,""
